paper_link,paper_title,handle,message
http://medrxiv.org/cgi/content/short/2020.08.09.20170845,Predicting the future SARS-COV-2 reproductive rate.,@ctsinclair,#PrognosisScience #COVID19 #virology
http://medrxiv.org/cgi/content/short/2020.08.09.20170845,Predicting the future SARS-COV-2 reproductive rate.,@PandemicCovid20,Predicting the future SARS-COV-2 reproductive rate. https://t.co/8jD21pyu7P
http://medrxiv.org/cgi/content/short/2020.08.09.20170845,Predicting the future SARS-COV-2 reproductive rate.,@medrxivpreprint,Predicting the future SARS-COV-2 reproductive rate.  https://t.co/rJNXvYp8O4 #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.09.20171207,The Link between Poverty and COVID-19 Case and Mortality Rates in Germany,@Kessy19721,Armut war in D bisher kein Risikofaktor an C19 zu versterben. Geringe Qualifikation schon. Was sagt uns das über KH die Pleite gehen und Kinder ohne Bildung? Sind wir auf dem richtigen Weg? @Karl_Lauterbach @jensspahn @Grund_gesetzt
http://medrxiv.org/cgi/content/short/2020.08.09.20171207,The Link between Poverty and COVID-19 Case and Mortality Rates in Germany,@RiyazHanfi,"Very nice, but yesterday Germany reported maximum new cases, after firist outbreaks on 9th May."
http://medrxiv.org/cgi/content/short/2020.08.09.20171207,The Link between Poverty and COVID-19 Case and Mortality Rates in Germany,@PandemicCovid20,The Link between Poverty and #COVID19 Case and Mortality Rates in Germany https://t.co/3WoxGiBFWU
http://medrxiv.org/cgi/content/short/2020.08.09.20171207,The Link between Poverty and COVID-19 Case and Mortality Rates in Germany,@medrxivpreprint,The Link between Poverty and COVID-19 Case and Mortality Rates in Germany  https://t.co/8ZlYYmmJsq #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.09.20171264,Estimating the Impact of COVID-19 on the Individual Lifespan: A Conceptual Detour and an Empirical Shortcut,@CHOMES102,RT @medrxivpreprint: Estimating the Impact of COVID-19 on the Individual Lifespan:A Conceptual Detour and an Empirical Shortcut  https://t.…
http://medrxiv.org/cgi/content/short/2020.08.09.20171264,Estimating the Impact of COVID-19 on the Individual Lifespan: A Conceptual Detour and an Empirical Shortcut,@medrxivpreprint,Estimating the Impact of COVID-19 on the Individual Lifespan:A Conceptual Detour and an Empirical Shortcut  https://t.co/TEj0U3s9zd #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.10.20167247,Fine-tuned Forecasting Techniques for COVID-19 Prediction in India,@medrxivpreprint,Fine-tuned Forecasting Techniques for COVID-19 Prediction in India  https://t.co/ldyCSJPPBX #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.09.20171181,The impact of COVID-19 on Italy web users: a quantitative analysis of regional hygiene interest and emotional response,@medrxivpreprint,The impact of COVID-19 on Italy web users: a quantitative analysis of regional hygiene interest and emotional response  https://t.co/mkaLz5efj9 #medRxiv
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@mjb0007,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@Donaldverger,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@REB_JUNN,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
http://medrxiv.org/cgi/content/short/2020.08.09.20171132,"Transmission heterogeneities, kinetics, and controllability of SARS-CoV-2",@fireashdustlife,"RT @AliNouriPhD: 2)Closeness w/contacts impacts risk: household was highest risk, then contacts in extended family, then community setting:…"
